Molecule ChEMBL ID,Smiles,pChEMBL Value,Assay ChEMBL ID
CHEMBL3646566,CC(=O)Nc1ccc(Nc2ncc(CN3CCN(S(C)(=O)=O)CC3)cc2-c2nc(C)nc(N)n2)cc1F,6.43,CHEMBL3706341
CHEMBL2418337,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3ncn(C)c3n2)cc1,6.43,CHEMBL2421129
CHEMBL2171932,Cc1nc2ccccc2c(N2CC(C)(C)c3ccc(N4CCOCC4)cc32)c1C,6.44,CHEMBL3705734
CHEMBL5839417,Cn1cc(-c2nc3cc(N[C@H](C(N)=O)C4CC4)cc4c3n2CCCO4)cn1,6.45,CHEMBL5731104
CHEMBL3646537,COc1ccc(Nc2ncc(CN[C@H](C)CO)cc2-c2nc(C)nc(N)n2)cn1,6.45,CHEMBL3706341
CHEMBL3646452,Cc1nc(N)cc(-c2cnccc2Nc2cccc3[nH]ncc23)n1,6.45,CHEMBL3706341
CHEMBL3646510,Cc1nc(-c2cccnc2Nc2ccc(NC(=O)C3CC3)cc2)c2nc[nH]c2n1,6.46,CHEMBL3706341
CHEMBL3698358,Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CCOc2ccc(N3CCOCC3)cc21,6.46,CHEMBL3705734
CHEMBL5977647,COc1ccc(-c2nc3cc(N[C@H](C(N)=O)C4CC4)cc4c3n2CCCO4)c(F)c1,6.47,CHEMBL5731104
CHEMBL5944940,Cc1nc2nc(-c3nc4cc(Br)cc5c4n3CCCO5)ccc2o1,6.49,CHEMBL5731104
CHEMBL5755501,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1ccnc4[nH]cnc14)n3CCCO2)C1CC1,6.49,CHEMBL5731104
CHEMBL2165050,COc1ccc(Nc2nccnc2-c2nc(C)nc(N)n2)cn1,6.49,CHEMBL3706341
CHEMBL2206911,Cc1nc(N)nc(-c2cccnc2Nc2cnc(Cl)c(N)c2)n1,6.49,CHEMBL3706341
CHEMBL5777808,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1ccc4oc(=O)[nH]c4c1)n3CCCO2)C1CC1,6.5,CHEMBL5731104
CHEMBL5409346,Cc1ccc(O)cc1-c1nc(C(N)=O)c2[nH]c(=O)n(CCc3ccc(Cl)c(Cl)c3)c2n1,6.5,CHEMBL5327182
CHEMBL3701643,Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC2(CCOCC2)c2ncc(-c3cn[nH]c3)cc21,6.5,CHEMBL3705734
CHEMBL5935250,Cc1ccncc1-c1nc2cc(N[C@H](C(N)=O)C3CC3)cc3c2n1CCCO3,6.53,CHEMBL5731104
CHEMBL5897104,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1cnn(C4COC4)c1)n3CCCO2)C1CC1,6.54,CHEMBL5731104
CHEMBL5826663,C[C@H](Nc1cc2c3c(c1)nc(N1CCC[C@@H](CO)C1)n3CCCO2)C(N)=O,6.54,CHEMBL5731104
CHEMBL3649434,COc1cc(-c2cnc3ccc(N4C(=O)OC[C@@H]4Cc4ccccc4)cn23)cnc1OC,6.54,CHEMBL3705286
CHEMBL5396655,C[C@@H]1COCCN1c1nc(C2=CCOCC2)nc(-c2cnc(N)cc2C(F)F)n1,6.55,CHEMBL5321639
CHEMBL3646464,COc1ccc(Nc2nc(-c3ccncc3)ncc2-c2nc(C)nc(N)n2)cn1,6.55,CHEMBL3706341
CHEMBL2165028,COCCNCc1cnc(Nc2ccc(OC)nc2)c(-c2nc(C)nc(N)n2)c1,6.55,CHEMBL3706341
CHEMBL3649469,Cc1nc(N)nc(-c2cccnc2Nc2cnc(C)c(NS(C)(=O)=O)c2)n1,6.55,CHEMBL3706341
